n,signature,new_signature_at_n,first_seen_n
110,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
111,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
112,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
113,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
114,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
115,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
116,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
117,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
118,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
119,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
120,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
121,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
122,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
123,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
124,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
125,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
126,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
127,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
128,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
129,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
130,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
131,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
132,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
133,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
134,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
135,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
136,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
137,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
138,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
139,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
140,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
141,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
142,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
143,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
144,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
145,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
146,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
147,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
148,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
149,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
150,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
151,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
152,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
153,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
154,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
155,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
156,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
157,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
158,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
159,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
160,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
161,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
162,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
163,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
164,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
165,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
166,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
167,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
168,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
169,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
170,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
171,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
172,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
173,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
174,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
175,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
176,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
177,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
178,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
179,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
180,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
181,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
182,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
183,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
184,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
185,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
186,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
187,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
188,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
189,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
190,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
191,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
192,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
193,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
194,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
195,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
196,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
197,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
198,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
199,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
200,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
201,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
202,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
203,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
204,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
205,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
206,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
207,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
208,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
209,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
210,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
211,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
